"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-let-7a-5p hsa-let-7a-1",213190,59646,34140,51347,298534,165362,32839,431610,240904,157360,36873,200993,658133,68436,333166,199454,166497,483250,132621,727832,84310,21515,310541,323315,47124,125569,155883,40617,126961,235425,49958,120187,71177,57849,287251,110262,169317,325921,277476,16981,32050,169774,162781
"hsa-let-7a-5p hsa-let-7a-2",212480,59768,34114,51446,298084,165079,32925,431271,240474,157190,36875,200669,657658,68330,332524,199262,166393,484225,132211,728751,84423,21553,310159,322931,47043,125215,155618,40559,126810,235350,50071,119753,71179,57746,286281,110155,168794,325667,277166,16880,32087,169514,162867
"hsa-let-7a-5p hsa-let-7a-3",212504,59658,34151,51408,298350,165353,32905,431398,240792,157257,36873,200992,657802,68387,332955,199488,166512,483503,132414,728448,84466,21540,310131,323078,47046,125356,155911,40581,126761,235486,50088,120109,71178,57834,286437,110206,168839,325787,277341,16905,32160,169626,162878
"hsa-let-7b-5p hsa-let-7b",246315,221451,162469,231618,271669,327296,70108,642320,269504,170372,75546,253540,414037,102987,678720,735677,139653,261225,248409,668615,272893,139465,433389,165606,203321,390192,191840,44697,355781,658301,223679,335343,207626,147883,298359,457485,283266,322136,355962,39066,74820,244686,465188
"hsa-let-7c-5p hsa-let-7c",21192,2899,9210,2782,42748,31875,1788,121526,78592,41135,2367,26631,78004,8479,79036,38987,26652,6991,28220,12739,3718,1673,8983,51361,12556,21646,24754,8063,16811,165128,1715,26766,3180,11487,47914,17419,32178,68349,46192,2178,1321,43740,8083
"hsa-let-7d-5p hsa-let-7d",46992,15409,21754,7735,69529,42032,4340,91459,51773,38415,5500,43726,102972,14404,61802,38064,35498,89303,35953,151130,18056,3791,72885,52786,7550,21665,45897,7060,37767,55797,16854,26266,19299,28276,60249,15967,43804,66992,56654,6702,8037,49499,32178
"hsa-let-7e-5p hsa-let-7e",3702,1875,765,612,4882,6853,555,4651,4866,1591,682,7451,4124,992,7361,2509,1414,3475,3286,11286,2517,589,3498,2469,711,5465,2087,283,5963,1154,1685,7569,1152,1532,6154,1788,3058,2734,2298,362,372,3221,2293
"hsa-let-7f-5p hsa-let-7f-1",88735,11228,6298,9640,89506,36779,10592,99624,82181,57938,9045,48043,222334,14708,64327,32403,60790,293511,29897,226099,13385,4480,81968,124115,8977,27225,43718,14622,31136,25662,7211,20376,18816,9129,104144,23311,57667,99224,61001,2548,7436,43254,35474
"hsa-let-7f-5p hsa-let-7f-2",90504,11183,6055,9637,91208,36852,10563,99780,83704,58662,9045,49027,222550,14609,64220,31904,62333,293376,30104,226174,13307,4463,82372,125867,9199,27274,43667,14716,31401,25637,7149,20228,18737,8973,105783,23329,58695,99971,60984,2436,7434,43642,35338
"hsa-let-7g-5p hsa-let-7g",85408,22035,27342,14410,60112,30052,13138,104392,53285,58469,12734,32560,178500,15239,54661,45253,46342,202199,38627,207274,18253,6019,101347,94764,12998,34438,74936,15108,44651,22537,12721,20354,26717,22033,106902,32023,99185,88362,62081,5546,14634,46166,64641
"hsa-let-7i-5p hsa-let-7i",102759,31873,79210,13543,90987,35454,21560,135314,95143,88058,17890,37813,159499,15060,68088,58500,60910,198590,55001,215405,34558,9328,110020,70550,20324,54973,71168,12238,87232,105181,24456,39839,37279,36712,121892,53656,103484,95881,61500,12233,17844,63875,74173
"hsa-miR-1-5p hsa-mir-1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100-5p hsa-mir-100",3360,5086,366,848,786,668,5825,1775,1608,1484,1185,3127,2075,449,1756,4107,6807,2345,1178,3781,6700,2677,1860,1403,1923,19699,1808,179,4803,3144,783,94,427,369,1506,4442,661,4404,1435,144,633,976,3177
"hsa-miR-101-5p hsa-mir-101-1",0,39,0,0,0,0,1,0,0,0,0,0,10,0,0,26,0,0,0,0,0,3,0,0,9,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,18
"hsa-miR-101-2-5p hsa-mir-101-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
